id,Loại tài liệu pháp luật,số,điều,tên điều,nội dung,thời gian ban hành,nhãn
68/2020/QH14_2,Luật,68/2020/QH14,2,Giải thích từ ngữ,"Trong Luật này, các từ ngữ dưới đây được hiểu như sau: 1. Chỗ ở hợp pháp là nơi được sử dụng để sinh sống, thuộc quyền sở hữu hoặc quyền sử dụng của công dân, bao gồm nhà ở, tàu, thuyền, phương tiện khác có khả năng di chuyển hoặc chỗ ở khác theo quy định của pháp luật. 2. Cư trú là việc công dân sinh sống tại một địa điểm thuộc đơn vị hành chính cấp xã hoặc đơn vị hành chính cấp huyện ở nơi không có đơn vị hành chính cấp xã (sau đây gọi chung là đơn vị hành chính cấp xã). 3. Cơ sở dữ liệu về cư trú là cơ sở dữ liệu chuyên ngành, tập hợp thông tin về cư trú của công dân, được số hóa, lưu trữ, quản lý bằng cơ sở hạ tầng thông tin, được kết nối, chia sẻ với Cơ sở dữ liệu quốc gia về dân cư và cơ sở dữ liệu khác theo quy định của pháp luật. 4. Cơ quan đăng ký cư trú là cơ quan quản lý cư trú trực tiếp thực hiện việc đăng ký cư trú của công dân, bao gồm Công an xã, phường, thị trấn; Công an huyện, quận, thị xã, thành phố thuộc tỉnh, thành phố thuộc thành phố trực thuộc trung ương ở nơi không có đơn vị hành chính cấp xã. 5. Đăng ký cư trú là việc thực hiện thủ tục đăng ký thường trú, đăng ký tạm trú, khai báo tạm vắng; thông báo lưu trú và khai báo thông tin, điều chỉnh thông tin về cư trú. 6. Lưu trú là việc công dân ở lại một địa điểm không phải nơi thường trú hoặc nơi tạm trú trong thời gian ít hơn 30 ngày. 7. Tạm vắng là việc công dân vắng mặt tại nơi cư trú trong một khoảng thời gian nhất định. 8. Nơi thường trú là nơi công dân sinh sống ổn định, lâu dài và đã được đăng ký thường trú; 9. Nơi tạm trú là nơi công dân sinh sống trong một khoảng thời gian nhất định ngoài nơi thường trú và đã được đăng ký tạm trú. 10. Nơi ở hiện tại là nơi thường trú hoặc nơi tạm trú mà công dân đang thường xuyên sinh sống; trường hợp không có nơi thường trú, nơi tạm trú thì nơi ở hiện tại là nơi công dân đang thực tế sinh sống.",ngày 13 tháng 11 năm 2020,
68/2020/QH14_3,Luật,68/2020/QH14,3,Nguyên tắc cư trú và quản lý cư trú,"1. Tuân thủ Hiến pháp và pháp luật 2. Bảo đảm hài hòa quyền, lợi ích hợp pháp của công dân, lợi ích của Nhà nước, cộng đồng và xã hội; kết hợp giữa việc bảo đảm quyền tự do cư trú, các quyền cơ bản khác của công dân và trách nhiệm của Nhà nước với nhiệm vụ xây dựng, phát triển kinh tế - xã hội, củng cố quốc phòng, an ninh, bảo đảm trật tự, an toàn xã hội. 3. Trình tự, thủ tục đăng ký cư trú phải đơn giản, thuận tiện, kịp thời, chính xác, công khai, minh bạch, không gây phiền hà; việc quản lý cư trú phải bảo đảm chặt chẽ, hiệu quả. 4. Thông tin về cư trú phải được cập nhật vào Cơ sở dữ liệu quốc gia về dân cư, Cơ sở dữ liệu về cư trú theo quy định của pháp luật; tại một thời điểm, mỗi công dân chỉ có một nơi thường trú và có thể có thêm một nơi tạm trú. 5. Mọi hành vi vi phạm pháp luật về đăng ký, quản lý cư trú phải được phát hiện, xử lý kịp thời, nghiêm minh theo quy định của pháp luật.",ngày 13 tháng 11 năm 2020,
68/2020/QH14_4,Luật,68/2020/QH14,4,Việc thực hiện quyền tự do cư trú của công dân,"1. Công dân thực hiện quyền tự do cư trú theo quy định của Luật này và quy định khác của pháp luật có liên quan. 2. Việc thực hiện quyền tự do cư trú của công dân chỉ bị hạn chế trong các trường hợp sau đây: a) Người bị cơ quan, người có thẩm quyền tiến hành tố tụng áp dụng biện pháp cấm đi khỏi nơi cư trú, biện pháp tạm giữ, tạm giam; người bị kết án phạt tù nhưng chưa có quyết định thi hành án hoặc đã có quyết định thi hành án nhưng đang tại ngoại hoặc được hoãn chấp hành án, tạm đình chỉ chấp hành án; người bị kết án phạt tù được hưởng án treo đang trong thời gian thử thách; người đang chấp hành án phạt tù, cấm cư trú, quản chế hoặc cải tạo không giam giữ; người được tha tù trước thời hạn có điều kiện đang trong thời gian thử thách; b) Người đang chấp hành biện pháp giáo dục tại xã, phường, thị trấn, biện pháp đưa vào cơ sở giáo dục bắt buộc, đưa vào cơ sở cai nghiện bắt buộc, đưa vào trường giáo dưỡng; người phải chấp hành biện pháp đưa vào cơ sở giáo dục bắt buộc, đưa vào cơ sở cai nghiện bắt buộc, đưa vào trường giáo dưỡng nhưng đang được hoãn chấp hành hoặc tạm đình chỉ chấp hành; người bị quản lý trong thời gian làm thủ tục xem xét, quyết định áp dụng biện pháp đưa vào cơ sở giáo dục bắt buộc, đưa vào cơ sở cai nghiện bắt buộc, đưa vào trường giáo dưỡng; c) Người bị cách ly do có nguy cơ lây lan dịch bệnh cho cộng đồng; d) Địa điểm, khu vực cách ly vì lý do phòng, chống dịch bệnh theo quyết định của cơ quan, người có thẩm quyền; địa bàn có tình trạng khẩn cấp theo quy định của pháp luật; địa điểm không được đăng ký thường trú mới, đăng ký tạm trú mới, tách hộ theo quy định của Luật này; đ) Các trường hợp khác theo quy định của luật. 3. Việc thực hiện quyền tự do cư trú của công dân chỉ bị hạn chế theo quy định của luật. Nội dung, thời gian hạn chế quyền tự do cư trú thực hiện theo bản án, quyết định có hiệu lực pháp luật của Tòa án, quyết định của cơ quan nhà nước khác có thẩm quyền hoặc theo quy định của luật có liên quan.",ngày 13 tháng 11 năm 2020,
68/2020/QH14_5,Luật,68/2020/QH14,5,Bảo đảm việc thực hiện quyền tự do cư trú của công dân và quản lý cư trú,"1. Nhà nước có chính sách và biện pháp đồng bộ để bảo đảm việc thực hiện quyền tự do cư trú của công dân. 2. Nhà nước bảo đảm ngân sách, cơ sở vật chất, nguồn nhân lực, đầu tư phát triển công nghệ tiên tiến, hiện đại cho hoạt động đăng ký, quản lý cư trú.",ngày 13 tháng 11 năm 2020,
68/2020/QH14_6,Luật,68/2020/QH14,6,Hợp tác quốc tế về quản lý cư trú,Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam thực hiện hợp tác quốc tế về quản lý cư trú phù hợp với pháp luật Việt Nam và pháp luật quốc tế; thực hiện điều ước quốc tế liên quan đến quản lý cư trú mà nước Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên.,ngày 13 tháng 11 năm 2020,
68/2020/QH14_7,Luật,68/2020/QH14,7,Các hành vi bị nghiêm cấm về cư trú,"1. Cản trở công dân thực hiện quyền tự do cư trú. 2. Lạm dụng việc sử dụng thông tin về nơi thường trú, nơi tạm trú làm điều kiện để hạn chế quyền, lợi ích hợp pháp của công dân. 3. Đưa, môi giới, nhận hối lộ trong việc đăng ký, quản lý cư trú. 4. Không tiếp nhận, trì hoãn việc tiếp nhận hồ sơ, giấy tờ, tài liệu, thông tin đăng ký cư trú hoặc có hành vi nhũng nhiễu khác; không thực hiện, thực hiện không đúng thời hạn đăng ký cư trú cho công dân khi hồ sơ đủ điều kiện đăng ký cư trú; xóa đăng ký thường trú, đăng ký tạm trú trái với quy định của pháp luật. 5. Thu, quản lý, sử dụng lệ phí đăng ký cư trú trái với quy định của pháp luật. 6. Tự đặt ra thời hạn, thủ tục, giấy tờ, tài liệu, biểu mẫu trái với quy định của pháp luật hoặc làm sai lệch thông tin, sổ sách, hồ sơ về cư trú. 7. Cố ý cấp hoặc từ chối cấp giấy tờ, tài liệu về cư trú trái với quy định của pháp luật. 8. Lợi dụng việc thực hiện quyền tự do cư trú để xâm phạm lợi ích của Nhà nước, quyền, lợi ích hợp pháp của tổ chức, cá nhân. 9. Làm giả giấy tờ, tài liệu, dữ liệu về cư trú; sử dụng giấy tờ, tài liệu, dữ liệu giả về cư trú; cung cấp thông tin, giấy tờ, tài liệu sai sự thật về cư trú; khai man điều kiện, giả mạo hồ sơ, giấy tờ, tài liệu để được đăng ký thường trú, đăng ký tạm trú; mua, bán, thuê, cho thuê, mượn, cho mượn, cầm cố, nhận cầm cố, hủy hoại giấy tờ, tài liệu về cư trú. 10. Tổ chức, kích động, xúi giục, lôi kéo, dụ dỗ, giúp sức, cưỡng bức người khác vi phạm pháp luật về cư trú. 11. Giải quyết cho đăng ký thường trú, đăng ký tạm trú khi biết rõ người đăng ký thường trú, đăng ký tạm trú không sinh sống tại chỗ ở đó. 12. Đồng ý cho người khác đăng ký thường trú, đăng ký tạm trú vào chỗ ở của mình để vụ lợi hoặc trong thực tế người đăng ký thường trú, đăng ký tạm trú không sinh sống tại chỗ ở đó. 13. Truy nhập, khai thác, hủy hoại, làm cản trở, gián đoạn hoạt động, thay đổi, xóa, phát tán, cung cấp trái phép thông tin trong Cơ sở dữ liệu về cư trú.",ngày 13 tháng 11 năm 2020,
68/2020/QH14_8,Luật,68/2020/QH14,8,Quyền của công dân về cư trú,"1. Lựa chọn, quyết định nơi cư trú của mình, đăng ký cư trú phù hợp với quy định của Luật này và quy định khác của pháp luật có liên quan. 2. Được bảo đảm bí mật thông tin cá nhân, thông tin về hộ gia đình trong Cơ sở dữ liệu về cư trú, trừ trường hợp cung cấp theo quy định của pháp luật. 3. Được khai thác thông tin về cư trú của mình trong Cơ sở dữ liệu quốc gia về dân cư; được cơ quan đăng ký cư trú trong cả nước không phụ thuộc vào nơi cư trú của mình xác nhận thông tin về cư trú khi có yêu cầu. 4. Được cơ quan đăng ký cư trú cập nhật, điều chỉnh thông tin về cư trú của mình trong Cơ sở dữ liệu về cư trú khi có thay đổi hoặc khi có yêu cầu. 5. Được cung cấp thông tin, tài liệu liên quan đến việc thực hiện quyền tự do cư trú của mình khi có yêu cầu. 6. Được cơ quan nhà nước có thẩm quyền thực hiện biện pháp bảo vệ quyền tự do cư trú. 7. Khiếu nại, tố cáo, khởi kiện đối với hành vi vi phạm pháp luật về cư trú theo quy định của pháp luật",ngày 13 tháng 11 năm 2020,
68/2020/QH14_9,Luật,68/2020/QH14,9,Nghĩa vụ của công dân về cư trú,"1. Thực hiện việc đăng ký cư trú theo quy định của Luật này và quy định khác của pháp luật có liên quan. 2. Cung cấp đầy đủ, chính xác, kịp thời thông tin, giấy tờ, tài liệu về cư trú của mình cho cơ quan, người có thẩm quyền và chịu trách nhiệm về thông tin, giấy tờ, tài liệu đã cung cấp. 3. Nộp lệ phí đăng ký cư trú theo quy định của pháp luật về phí và lệ phí.",ngày 13 tháng 11 năm 2020,
68/2020/QH14_10,Luật,68/2020/QH14,10,"Quyền, nghĩa vụ của chủ hộ và thành viên hộ gia đình về cư trú","1. Những người cùng ở tại một chỗ ở hợp pháp và có quan hệ gia đình là ông nội, bà nội, ông ngoại, bà ngoại, cha, mẹ, vợ, chồng, con và anh ruột, chị ruột, em ruột, cháu ruột thì có thể đăng ký thường trú, đăng ký tạm trú theo hộ gia đình. 2. Người không thuộc trường hợp quy định tại khoản 1 Điều này nếu có đủ điều kiện đăng ký thường trú, đăng ký tạm trú tại cùng một chỗ ở hợp pháp theo quy định của Luật này thì được đăng ký thường trú, đăng ký tạm trú vào cùng một hộ gia đình. 3. Nhiều hộ gia đình có thể đăng ký thường trú, đăng ký tạm trú tại cùng một chỗ ở hợp pháp. 4. Chủ hộ là người có năng lực hành vi dân sự đầy đủ do các thành viên hộ gia đình thống nhất đề cử; trường hợp hộ gia đình không có người có năng lực hành vi dân sự đầy đủ thì chủ hộ là người được các thành viên hộ gia đình thống nhất đề cử; trường hợp các thành viên hộ gia đình không đề cử được thì chủ hộ là thành viên hộ gia đình do Tòa án quyết định. Trường hợp hộ gia đình chỉ có một người thì người đó là chủ hộ. 5. Chủ hộ có quyền và nghĩa vụ thực hiện, tạo điều kiện, hướng dẫn thành viên hộ gia đình thực hiện quy định về đăng ký, quản lý cư trú và những nội dung khác theo quy định của Luật này; thông báo với cơ quan đăng ký cư trú về việc trong hộ gia đình có thành viên thuộc trường hợp quy định tại khoản 1 Điều 24, khoản 1 Điều 29 của Luật này. 6. Thành viên hộ gia đình có quyền và nghĩa vụ thống nhất đề cử chủ hộ; thực hiện đầy đủ quy định về đăng ký, quản lý cư trú.",ngày 13 tháng 11 năm 2020,
68/2020/QH14_11,Luật,68/2020/QH14,11,Nơi cư trú của công dân,"1. Nơi cư trú của công dân bao gồm nơi thường trú, nơi tạm trú. 2. Trường hợp không xác định được nơi thường trú, nơi tạm trú thì nơi cư trú của công dân là nơi ở hiện tại được xác định theo quy định tại khoản 1 Điều 19 của Luật này.",ngày 13 tháng 11 năm 2020,
68/2020/QH14_12,Luật,68/2020/QH14,12,Nơi cư trú của người chưa thành niên,"1. Nơi cư trú của người chưa thành niên là nơi cư trú của cha, mẹ; nếu cha, mẹ có nơi cư trú khác nhau thì nơi cư trú của người chưa thành niên là nơi cư trú của cha hoặc mẹ mà người chưa thành niên thường xuyên chung sống; trường hợp không xác định được nơi thường xuyên chung sống thì nơi cư trú của người chưa thành niên là nơi do cha, mẹ thỏa thuận; trường hợp cha, mẹ không thỏa thuận được thì nơi cư trú của người chưa thành niên do Tòa án quyết định. 2. Người chưa thành niên có thể có nơi cư trú khác với nơi cư trú của cha, mẹ nếu được cha, mẹ đồng ý hoặc pháp luật có quy định.",ngày 13 tháng 11 năm 2020,
68/2020/QH14_13,Luật,68/2020/QH14,13,Nơi cư trú của người được giám hộ,1. Nơi cư trú của người được giám hộ là nơi cư trú của người giám hộ. 2. Người được giám hộ có thể có nơi cư trú khác với nơi cư trú của người giám hộ nếu được người giám hộ đồng ý hoặc pháp luật có quy định.,ngày 13 tháng 11 năm 2020,
68/2020/QH14_14,Luật,68/2020/QH14,14,"Nơi cư trú của vợ, chồng","1. Nơi cư trú của vợ, chồng là nơi vợ, chồng thường xuyên chung sống. 2. Vợ, chồng có thể có nơi cư trú khác nhau theo thỏa thuận hoặc theo quy định của pháp luật có liên quan.",ngày 13 tháng 11 năm 2020,
68/2020/QH14_15,Luật,68/2020/QH14,15,"Nơi cư trú của người học tập, công tác, làm việc trong lực lượng vũ trang","1. Nơi cư trú của sĩ quan, hạ sĩ quan, binh sĩ, quân nhân chuyên nghiệp, công nhân, viên chức quốc phòng, sinh viên, học viên các trường Quân đội nhân dân là nơi đơn vị của người đó đóng quân, trừ trường hợp sĩ quan, hạ sĩ quan, binh sĩ, quân nhân chuyên nghiệp, công nhân, viên chức quốc phòng có nơi cư trú khác theo quy định của Luật này. 2. Nơi cư trú của sĩ quan nghiệp vụ, hạ sĩ quan nghiệp vụ, sĩ quan chuyên môn kỹ thuật, hạ sĩ quan chuyên môn kỹ thuật, học sinh, sinh viên, học viên các trường Công an nhân dân, hạ sĩ quan nghĩa vụ, chiến sĩ nghĩa vụ, công nhân công an là nơi đơn vị của người đó đóng quân, trừ trường hợp sĩ quan nghiệp vụ, hạ sĩ quan nghiệp vụ, sĩ quan chuyên môn kỹ thuật, hạ sĩ quan chuyên môn kỹ thuật, công nhân công an có nơi cư trú khác theo quy định của Luật này. 3. Điều kiện, hồ sơ, thủ tục đăng ký thường trú, đăng ký tạm trú tại nơi đơn vị đóng quân đối với người quy định tại khoản 1 Điều này do Bộ trưởng Bộ Quốc phòng quy định, đối với người quy định tại khoản 2 Điều này do Bộ trưởng Bộ Công an quy định.",ngày 13 tháng 11 năm 2020,
68/2020/QH14_16,Luật,68/2020/QH14,16,"Nơi cư trú của người sinh sống, người làm nghề lưu động trên tàu, thuyền hoặc phương tiện khác có khả năng di chuyển","1. Nơi cư trú của người sinh sống, người làm nghề lưu động trên tàu, thuyền hoặc phương tiện khác có khả năng di chuyển (sau đây gọi chung là phương tiện) là nơi đăng ký phương tiện đó, trừ trường hợp có nơi cư trú khác theo quy định của Luật này. Đối với phương tiện không phải đăng ký hoặc có nơi đăng ký phương tiện không trùng với nơi thường xuyên đậu, đỗ thì nơi cư trú của người sinh sống, người làm nghề lưu động là nơi phương tiện đó thường xuyên đậu, đỗ. 2. Chính phủ quy định chi tiết Điều này.",ngày 13 tháng 11 năm 2020,
68/2020/QH14_17,Luật,68/2020/QH14,17,"Nơi cư trú của người hoạt động tín ngưỡng, tôn giáo, trẻ em, người khuyết tật, người không nơi nương tựa trong cơ sở tín ngưỡng, cơ sở tôn giáo","1. Nơi cư trú của người hoạt động tín ngưỡng, nhà tu hành, chức sắc, chức việc, người khác hoạt động tôn giáo sinh sống trong cơ sở tín ngưỡng, cơ sở tôn giáo là cơ sở tín ngưỡng, cơ sở tôn giáo, trừ trường hợp có nơi cư trú khác theo quy định của Luật này. 2. Nơi cư trú của trẻ em, người khuyết tật đặc biệt nặng, người khuyết tật nặng, người không nơi nương tựa được nhận nuôi và sinh sống trong cơ sở tín ngưỡng, cơ sở tôn giáo là cơ sở tín ngưỡng, cơ sở tôn giáo.",ngày 13 tháng 11 năm 2020,
68/2020/QH14_18,Luật,68/2020/QH14,18,"Nơi cư trú của người được chăm sóc, nuôi dưỡng, trợ giúp","1. Nơi cư trú của người được chăm sóc, nuôi dưỡng, trợ giúp tại cơ sở trợ giúp xã hội là cơ sở trợ giúp xã hội. 2. Nơi cư trú của người được chăm sóc, nuôi dưỡng tại cộng đồng là nơi cư trú của người nhận chăm sóc, nuôi dưỡng.",ngày 13 tháng 11 năm 2020,
68/2020/QH14_19,Luật,68/2020/QH14,19,"Nơi cư trú của người không có nơi thường trú, nơi tạm trú","1. Nơi cư trú của người không có cả nơi thường trú và nơi tạm trú do không đủ điều kiện đăng ký thường trú, đăng ký tạm trú là nơi ở hiện tại của người đó; trường hợp không có địa điểm chỗ ở cụ thể thì nơi ở hiện tại được xác định là đơn vị hành chính cấp xã nơi người đó đang thực tế sinh sống, Người không có nơi thường trú, nơi tạm trú phải khai báo thông tin về cư trú với cơ quan đăng ký cư trú tại nơi ở hiện tại. 2. Cơ quan đăng ký cư trú có trách nhiệm hướng dẫn việc khai báo thông tin về cư trú theo các trường thông tin trong Cơ sở dữ liệu quốc gia về dân cư, Cơ sở dữ liệu về cư trú. 3. Trường hợp người quy định tại khoản 1 Điều này chưa có thông tin trong Cơ sở dữ liệu quốc gia về dân cư, Cơ sở dữ liệu về cư trú thì trong thời hạn 30 ngày kể từ ngày tiếp nhận thông tin khai báo, cơ quan đăng ký cư trú tiến hành kiểm tra, xác minh thông tin; trường hợp phức tạp thì có thể kéo dài nhưng không quá 60 ngày. 4. Trường hợp người quy định tại khoản 1 Điều này đã có thông tin trong Cơ sở dữ liệu quốc gia về dân cư, Cơ sở dữ liệu về cư trú thì trong thời hạn 05 ngày làm việc kể từ ngày tiếp nhận thông tin khai báo, cơ quan đăng ký cư trú tiến hành kiểm tra, xác minh thông tin. 5. Sau khi kiểm tra, xác minh, cơ quan đăng ký cư trú cập nhật thông tin của công dân về nơi ở hiện tại và các thông tin khác vào Cơ sở dữ liệu quốc gia về dân cư, Cơ sở dữ liệu về cư trú và thông báo cho người đã khai báo về việc đã cập nhật thông tin. 6. Trường hợp có thay đổi thông tin về cư trú thì công dân phải khai báo lại với cơ quan đăng ký cư trú để rà soát, điều chỉnh thông tin của công dân trong Cơ sở dữ liệu quốc gia về dân cư, Cơ sở dữ liệu về cư trú; khi đủ điều kiện theo quy định của Luật này thì phải làm thủ tục đăng ký thường trú, đăng ký tạm trú. 7. Chính phủ quy định chi tiết Điều này.",ngày 13 tháng 11 năm 2020,
68/2020/QH14_20,Luật,68/2020/QH14,20,Điều kiện đăng ký thường trú,"1. Công dân có chỗ ở hợp pháp thuộc quyền sở hữu của mình thì được đăng ký thường trú tại chỗ ở hợp pháp đó. 2. Công dân được đăng ký thường trú tại chỗ ở hợp pháp không thuộc quyền sở hữu của mình khi được chủ hộ và chủ sở hữu chỗ ở hợp pháp đó đồng ý trong các trường hợp sau đây: a) Vợ về ở với chồng; chồng về ở với vợ; con về ở với cha, mẹ; cha, mẹ về ở với con; b) Người cao tuổi về ở với anh ruột, chị ruột, em ruột, cháu ruột; người khuyết tật đặc biệt nặng, người khuyết tật nặng, người không có khả năng lao động, người bị bệnh tâm thần hoặc bệnh khác làm mất khả năng nhận thức, khả năng điều khiển hành vi về ở với ông nội, bà nội, ông ngoại, bà ngoại, anh ruột, chị ruột, em ruột, bác ruột, chú ruột, cậu ruột, cô ruột, dì ruột, cháu ruột, người giám hộ; c) Người chưa thành niên được cha, mẹ hoặc người giám hộ đồng ý hoặc không còn cha, mẹ về ở với cụ nội, cụ ngoại, ông nội, bà nội, ông ngoại, bà ngoại, anh ruột, chị ruột, em ruột, bác ruột, chú ruột, cậu ruột, cô ruột, dì ruột; người chưa thành niên về ở với người giám hộ. 3. Trừ trường hợp quy định tại khoản 2 Điều này, công dân được đăng ký thường trú tại chỗ ở hợp pháp do thuê, mượn, ở nhờ khi đáp ứng các điều kiện sau đây: a) Được chủ sở hữu chỗ ở hợp pháp đồng ý cho đăng ký thường trú tại địa điểm thuê, mượn, ở nhờ và được chủ hộ đồng ý nếu đăng ký thường trú vào cùng hộ gia đình đó; b) Bảo đảm điều kiện về diện tích nhà ở tối thiểu do Hội đồng nhân dân cấp tỉnh quy định nhưng không thấp hơn 08 m2 sàn/người. 4. Công dân được đăng ký thường trú tại cơ sở tín ngưỡng, cơ sở tôn giáo có công trình phụ trợ là nhà ở khi thuộc một trong các trường hợp sau đây: a) Người hoạt động tôn giáo được phong phẩm, bổ nhiệm, bầu cử, suy cử, thuyên chuyển đến hoạt động tôn giáo tại cơ sở tôn giáo; b) Người đại diện cơ sở tín ngưỡng; c) Người được người đại diện hoặc ban quản lý cơ sở tín ngưỡng đồng ý cho đăng ký thường trú để trực tiếp quản lý, tổ chức hoạt động tín ngưỡng tại cơ sở tín ngưỡng; d) Trẻ em, người khuyết tật đặc biệt nặng, người khuyết tật nặng, người không nơi nương tựa được người đại diện hoặc ban quản lý cơ sở tín ngưỡng, người đứng đầu hoặc người đại diện cơ sở tôn giáo đồng ý cho đăng ký thường trú. 5. Người được chăm sóc, nuôi dưỡng, trợ giúp được đăng ký thường trú tại cơ sở trợ giúp xã hội khi được người đứng đầu cơ sở đó đồng ý hoặc được đăng ký thường trú vào hộ gia đình nhận chăm sóc, nuôi dưỡng khi được chủ hộ và chủ sở hữu chỗ ở hợp pháp đồng ý. 6. Người sinh sống, người làm nghề lưu động trên phương tiện được đăng ký thường trú tại phương tiện đó khi đáp ứng các điều kiện sau đây: a) Là chủ phương tiện hoặc được chủ phương tiện đó đồng ý cho đăng ký thường trú; b) Phương tiện được đăng ký, đăng kiểm theo quy định của pháp luật; trường hợp phương tiện không thuộc đối tượng phải đăng ký, đăng kiểm thì phải có xác nhận của Ủy ban nhân dân cấp xã nơi phương tiện thường xuyên đậu, đỗ về việc sử dụng phương tiện đó vào mục đích để ở; c) Có xác nhận của Ủy ban nhân dân cấp xã về việc phương tiện đã đăng ký đậu, đỗ thường xuyên trên địa bàn trong trường hợp phương tiện không phải đăng ký hoặc nơi đăng ký phương tiện không trùng với nơi thường xuyên đậu, đỗ. 7. Việc đăng ký thường trú của người chưa thành niên phải được sự đồng ý của cha, mẹ hoặc người giám hộ, trừ trường hợp nơi cư trú của người chưa thành niên do Tòa án quyết định. 8. Công dân không được đăng ký thường trú mới tại chỗ ở quy định tại Điều 23 của Luật này, trừ trường hợp quy định tại điểm a khoản 2 Điều này.",ngày 13 tháng 11 năm 2020,
